genres,release_date,playtime_forever,item_id
Casual Simulation,2009-05-06,458.0,239350.0
Racing,2009-05-06,574.0,218620.0
RPG Strategy,2005-03-08,0.0,206420.0
RPG Strategy,2002-03-26,89.0,236850.0
Indie Simulation Strategy,2009-06-04,230.0,47790.0
Action Simulation,2009-06-09,0.0,47830.0
Action Adventure,2009-06-10,500.0,250320.0
Adventure Indie,Jun 2009,329.0,250900.0
Strategy,2004-04-30,241.0,204450.0
RPG,2007-09-11,0.0,233270.0
RPG,2002-04-29,135.0,251990.0
Adventure,2007-05-18,0.0,253980.0
Simulation,1999-09-01,154.0,236450.0
Simulation,1998-09-07,1377.0,242050.0
Strategy,2008-09-15,0.0,257350.0
Action,2009-06-30,121.0,213670.0
Adventure,2007-10-01,2176.0,238010.0
Adventure,2006-10-01,246.0,245470.0
Adventure,2008-07-01,157.0,221910.0
Adventure,2007-07-01,467.0,260230.0
Casual Indie,2008-12-24,77.0,238430.0
Adventure,2009-07-07,567.0,261030.0
Action,2009-07-07,39.0,261570.0
Action Adventure Racing Simulation Strategy,2007-10-09,0.0,263980.0
Adventure,1992-06-01,15.0,39150.0
Action,2003-12-02,522.0,230230.0
Action,2005-11-01,0.0,373420.0
Adventure,1989-07-01,216.0,232790.0
Action Adventure,2008-06-03,19.0,237990.0
Adventure,2009-07-15,848.0,273620.0
Strategy,2008-11-20,3031.0,222880.0
Action Racing,2009-06-02,26.0,225840.0
Adventure,2009-07-21,0.0,222900.0
Sports,2006-12-20,941.0,280220.0
Adventure,2006-09-01,592.0,236430.0
Action,2007-10-30,599.0,201810.0
Adventure,2006-09-01,1735.0,294860.0
Action,2009-07-24,0.0,295690.0
Action Casual,2008-06-04,407.0,238460.0
Simulation Strategy,2009-07-24,154.0,237930.0
Casual,2009-07-27,0.0,301480.0
Action,2008-08-14,0.0,303390.0
Action Adventure,2009-07-28,1245.0,306660.0
Action,2009-07-29,42.0,316790.0
Action Indie,2009-08-04,0.0,318430.0
Adventure RPG,2003-11-19,889.0,241930.0
Indie Casual,2009-08-18,5.0,328080.0
RPG,1998-12-01,3.0,282070.0
Strategy,2001-03-01,2782.0,333930.0
Action,1999-06-01,109.0,334120.0
Adventure,2009-08-20,0.0,257510.0
Casual,2009-08-24,37.0,319630.0
Casual,2009-08-24,464.0,346010.0
Adventure Indie,2009-06-22,246.0,255710.0
Action,2005-03-29,6494.0,232090.0
Strategy,2009-08-28,0.0,232150.0
Simulation,2009-10-30,2001.0,377160.0
Action Adventure,2009-09-08,170.0,340170.0
Adventure Casual Indie,2009-05-26,395.0,391540.0
Simulation,2009-09-25,0.0,396660.0
Adventure Casual,2009-09-28,1159.0,337000.0
Adventure,2009-09-07,83.0,368230.0
Action,2009-08-18,0.0,496300.0
Simulation,2009-10-01,0.0,231430.0
Simulation,2009-09-30,593.0,289130.0
Simulation,2009-10-01,1495.0,268500.0
RPG,2009-10-30,0.0,461640.0
Casual,2009-10-01,793.0,379720.0
Strategy,2009-10-05,58.0,273350.0
Adventure Indie,2009-10-16,0.0,10.0
Action,2007-09-04,0.0,80.0
Racing,2009-09-15,0.0,100.0
RPG,2009-10-27,220.0,300.0
Strategy,2009-03-12,0.0,30.0
Strategy,2009-10-27,0.0,40.0
Strategy,2009-10-27,0.0,60.0
Action,2009-10-27,62.0,240.0
RPG Strategy,2009-10-29,0.0,280.0
Adventure,2009-10-29,0.0,360.0
Strategy,2009-10-29,0.0,320.0
Adventure,2009-10-07,0.0,20.0
Strategy,2009-11-01,0.0,50.0
Action Indie,2009-09-19,0.0,70.0
Action RPG,2009-11-03,0.0,130.0
Strategy,2005-03-03,107.0,3910.0
Strategy,2003-10-28,0.0,3920.0
Action Indie,2009-11-24,412.0,4000.0
Adventure,2009-10-29,0.0,6880.0
RPG,2009-11-06,114.0,2200.0
Action RPG Indie,2009-05-07,0.0,2270.0
Indie Casual,2009-11-05,0.0,2280.0
Strategy,2009-11-11,0.0,2290.0
Action,2009-11-12,0.0,2300.0
Adventure,2009-11-12,16.0,2310.0
RPG,2007-06-26,0.0,2320.0
RPG,2008-02-15,0.0,2330.0
Strategy,2007-03-28,0.0,2340.0
Indie Casual,2008-07-23,0.0,2350.0
Strategy,2009-11-13,0.0,2360.0
Indie Simulation Strategy,2009-11-16,0.0,2370.0
Simulation,2009-12-25,0.0,2390.0
Action Adventure RPG,2005-06-17,0.0,9000.0
Action,2009-10-22,0.0,9010.0
Action,2009-11-03,0.0,9030.0
RPG,2009-10-13,0.0,9040.0
Strategy Indie Simulation,2009-12-16,0.0,9050.0
Simulation,2007-10-02,0.0,9060.0
Simulation,2008-04-29,0.0,9070.0
Simulation,2009-01-24,0.0,9160.0
Casual Simulation,2009-12-17,0.0,9180.0
Casual,2009-12-17,51.0,4760.0
Action Adventure,2008-07-08,750.0,220.0
Action Indie RPG,2010-03-17,21.0,340.0
Simulation,2009-08-12,181.0,380.0
Action Free to Play Indie,2010-02-12,169.0,400.0
Casual,2008-08-27,295.0,420.0
Casual,2010-01-06,0.0,2590.0
Casual,2009-09-11,0.0,4230.0
Casual,2007-12-07,0.0,4290.0
Casual,2009-02-18,291.0,12900.0
Casual,2010-02-16,0.0,8600.0
Strategy Casual,2010-02-16,0.0,8660.0
Adventure Casual,2010-02-16,0.0,44630.0
Strategy,2010-02-17,544.0,15310.0
Adventure,2010-02-18,0.0,17100.0
Action Indie Racing,2010-02-18,8.0,17120.0
Strategy,2010-02-18,17.0,21000.0
Action,2010-02-19,0.0,500.0
Casual,2007-12-01,144.0,18500.0
Action,2010-03-18,0.0,17470.0
Action Indie,2001-03-21,23.0,24740.0
Simulation,2010-03-19,75.0,27000.0
Action RPG,2010-03-31,71.0,22200.0
Action,2010-03-26,817.0,23700.0
Action Indie,2010-04-05,428.0,1250.0
Action,2010-04-08,0.0,35420.0
Action,2010-04-12,230.0,22330.0
Action Adventure,2010-04-12,0.0,9870.0
Indie,2010-04-14,0.0,32370.0
Action Casual Indie,2010-04-15,0.0,12830.0
Adventure,2010-04-15,35.0,24800.0
Simulation Strategy,2010-04-19,75.0,20900.0
Simulation,2010-04-19,0.0,17450.0
Adventure Indie,2010-04-20,0.0,40200.0
Action,2003-08-19,0.0,40210.0
Action,2001-11-30,0.0,24980.0
Casual Indie,2010-04-20,77.0,46000.0
Casual,2006-07-19,0.0,39900.0
Casual Indie,2008-06-19,1412.0,33230.0
Strategy,2010-05-05,0.0,8190.0
Casual,2008-12-31,0.0,46410.0
Casual,2009-09-24,48.0,33220.0
Casual,2009-07-27,84.0,3900.0
Casual,2009-12-24,0.0,34440.0
Casual,2010-03-19,0.0,20820.0
Casual,2008-02-11,0.0,33930.0
Casual,2007-12-31,0.0,219540.0
Casual,2009-12-21,0.0,17410.0
Action Adventure Casual,2010-05-07,0.0,48800.0
Action Adventure,2010-05-11,0.0,57300.0
Action Indie,2010-05-12,84.0,70100.0
Casual,2010-05-28,124.0,70110.0
Action Adventure,2010-06-08,0.0,70120.0
Casual Indie,2010-05-28,748.0,8930.0
Action,2010-06-01,224.0,9940.0
Action,2010-06-01,0.0,23490.0
Action Adventure Casual RPG,2010-06-01,1198.0,57600.0
Action,2010-06-01,0.0,60600.0
Action,2010-06-01,0.0,33950.0
Strategy,2010-06-01,18.0,22380.0
Action,2010-06-01,6.0,12210.0
Action,2010-06-01,0.0,12220.0
Action,2010-06-01,41.0,47810.0
Action,2010-06-01,0.0,39670.0
Action,2010-06-01,0.0,90100.0
Action RPG,2010-06-01,101.0,63700.0
Action,2010-06-03,0.0,55140.0
RPG,2010-07-16,311.0,31280.0
Strategy Indie,2010-06-02,163.0,72200.0
RPG,2010-07-16,60.0,40800.0
RPG,2010-07-16,77.0,48950.0
RPG,2010-07-16,0.0,65070.0
Action,2010-07-19,0.0,4540.0
RPG,2010-07-16,0.0,475150.0
Simulation Strategy,2003-09-22,0.0,31700.0
Strategy RPG,2010-07-16,0.0,21100.0
Casual Indie,2010-07-16,205.0,42910.0
Action Casual Indie,2010-07-19,55.0,92800.0
Strategy,2010-07-21,22.0,48210.0
RPG,2008-12-08,74.0,91900.0
Action,2010-08-17,104.0,70000.0
Simulation Strategy,2010-07-28,43.0,91600.0
Strategy,2010-07-26,0.0,41740.0
Simulation,2010-08-06,3464.0,620.0
Strategy,2010-08-06,220.0,104200.0
Action,2011-03-22,0.0,22600.0
Simulation,2010-08-06,0.0,22610.0
RPG Casual,2010-08-12,1343.0,20920.0
Action,2010-08-12,215.0,92100.0
Indie,2010-08-16,4694.0,105600.0
Indie,2010-08-16,46.0,104600.0
Indie,2010-08-16,0.0,98500.0
Indie,2010-08-16,0.0,94200.0
Strategy,2010-08-20,0.0,7600.0
Simulation,2010-08-27,0.0,37100.0
Strategy,2010-08-26,0.0,21090.0
Indie Simulation Strategy,2010-06-22,0.0,21110.0
Action Simulation Strategy,2010-08-27,0.0,21120.0
Strategy,2010-08-30,0.0,16450.0
Indie,2010-08-16,0.0,97000.0
Action,2010-08-31,0.0,39530.0
Action,2010-08-31,0.0,3270.0
Simulation,2010-09-01,0.0,15900.0
Action,2010-08-31,0.0,15910.0
Strategy,2002-11-01,0.0,15920.0
Adventure,2010-09-02,0.0,15930.0
Casual,2010-09-06,0.0,15940.0
Action,2010-09-06,0.0,15950.0
Action,2010-09-08,251.0,15960.0
Action Indie,2010-09-07,0.0,15970.0
Strategy,2010-09-08,0.0,15980.0
Action Adventure Indie,2010-09-08,0.0,16000.0
RPG Indie,2010-09-10,0.0,16020.0
Action Casual Indie,2010-08-19,0.0,16030.0
Action Simulation,2010-09-13,0.0,16040.0
Action,2010-09-13,0.0,16060.0
Simulation,2010-09-14,0.0,32110.0
Indie Simulation,2010-09-14,0.0,32120.0
Casual Indie,2010-09-17,0.0,32130.0
Strategy,2010-09-17,0.0,32140.0
Action,2010-09-13,0.0,32160.0
RPG Strategy,2010-09-17,0.0,60340.0
Simulation,2010-09-17,0.0,22650.0
Strategy,2010-09-21,0.0,50130.0
Strategy,2010-09-21,75.0,98800.0
Action Indie,2002-02-05,75.0,22230.0
Indie Strategy,2010-09-20,0.0,34830.0
Action Adventure,2010-09-22,35.0,96100.0
Action,2010-09-22,0.0,61100.0
Action Adventure,2010-09-23,0.0,32800.0
Simulation Strategy,1999-07-01,84.0,107100.0
Strategy,2010-10-08,0.0,65790.0
Action RPG Massively Multiplayer,2007-08-31,86.0,107200.0
Simulation Strategy,2000-06-01,95.0,111800.0
RPG Strategy,Oct 2010,2159.0,28050.0
Adventure Casual Simulation,2010-10-11,143.0,17710.0
Adventure Casual Indie Simulation,2010-10-11,0.0,63000.0
RPG Strategy,Oct 2010,194.0,102840.0
RPG Strategy,Oct 2010,4326.0,55230.0
Action,2010-10-12,93.0,3830.0
Indie RPG Strategy,2010-10-15,101.0,115100.0
Action Adventure,2010-10-15,74.0,80310.0
Adventure Casual Indie,2010-10-15,33.0,65800.0
Action RPG,2010-10-19,0.0,65730.0
Action Casual Indie,2010-10-15,71.0,201280.0
Adventure Indie,2010-10-22,0.0,110800.0
Indie Racing,2010-10-25,0.0,71340.0
Strategy,2010-10-25,13831.0,72850.0
Action Indie RPG,2010-10-25,723.0,48240.0
Action Simulation,2010-10-26,112.0,41070.0
Casual,2010-10-26,0.0,61310.0
RPG,2010-10-26,0.0,24480.0
Action,2010-10-26,0.0,1600.0
Action Adventure,2010-10-26,0.0,205790.0
Adventure,2010-10-26,0.0,41900.0
Action,2010-10-26,285.0,105450.0
Action,2010-10-26,0.0,8650.0
Action Indie,2010-10-25,0.0,48000.0
Action Adventure Indie,2010-10-26,164.0,115110.0
Action,2010-10-26,0.0,207170.0
Action Casual,2010-11-18,116.0,207650.0
RPG Simulation Strategy,2010-11-18,0.0,108200.0
Action Casual Indie,2010-11-02,0.0,102600.0
Simulation Strategy,2010-11-02,57.0,208600.0
Casual,2010-11-02,0.0,209610.0
Adventure Indie,2010-11-18,0.0,15560.0
Strategy,2010-11-02,0.0,209360.0
Action,2010-11-02,0.0,50510.0
Action,2010-11-05,0.0,207690.0
Casual,2009-10-01,0.0,210150.0
Adventure,2010-11-03,793.0,207610.0
Casual Indie,2007-04-05,102.0,205610.0
Strategy Indie,2010-11-02,0.0,205350.0
Action,2010-11-09,120.0,104900.0
Indie Casual,2010-11-09,0.0,205530.0
Action Adventure Strategy,2010-12-20,0.0,3990.0
Indie Casual,2010-11-09,0.0,8800.0
Action Adventure Strategy,2010-12-20,0.0,16810.0
Casual Indie,2010-12-23,0.0,34450.0
Adventure,2010-12-23,0.0,34460.0
Action,2002-05-21,136.0,211360.0
Action,2005-06-06,1066.0,200260.0
Action Adventure,2011-01-07,0.0,98400.0
Action Adventure,2011-01-07,220.0,204180.0
Action Adventure,2011-01-07,36.0,108800.0
Action Adventure,2011-01-07,0.0,207730.0
Action,2003-05-13,140.0,204100.0
Action Indie,2011-01-12,281.0,207080.0
Action Indie,2011-01-20,0.0,209790.0
Action Indie Strategy,2011-01-20,0.0,213330.0
Action,2011-01-25,4.0,211120.0
Adventure Casual,2011-01-19,0.0,212010.0
Adventure,2011-01-20,99.0,214360.0
Action Strategy Indie Sports,2011-01-24,0.0,234740.0
Action Adventure Casual,2011-01-25,406.0,201790.0
Action,2011-01-26,727.0,35140.0
RPG,2011-01-26,121.0,113200.0
RPG,2011-01-26,499.0,204300.0
RPG,2011-01-26,10.0,108700.0
Action,2011-01-26,0.0,204220.0
Adventure,2011-01-26,1195.0,202170.0
Action,2011-01-26,266.0,49520.0
Action Adventure,2011-01-26,0.0,33600.0
Action,2011-01-26,0.0,214790.0
RPG,2011-01-26,63.0,72000.0
RPG,2011-01-26,0.0,215510.0
Simulation,2009-06-02,192.0,200510.0
Simulation,2011-01-26,122.0,218640.0
Simulation,2010-09-07,58.0,209540.0
Simulation,2009-11-17,748.0,212680.0
Simulation,2010-10-26,268.0,214560.0
Simulation,2010-06-02,61.0,206440.0
Simulation,2010-02-02,0.0,220780.0
Casual Indie,2011-01-27,114.0,204360.0
Casual,2011-01-28,0.0,221260.0
Simulation,2011-02-01,0.0,215790.0
Action Casual Indie,2011-01-31,106.0,200710.0
Adventure Casual,2011-02-02,103.0,219910.0
Strategy,2011-02-01,219.0,220860.0
RPG,2011-02-03,0.0,65740.0
Racing,Feb 2011,100.0,4700.0
RPG,2011-02-03,55.0,10500.0
Strategy Indie Simulation,2011-02-11,60.0,34030.0
Strategy,2011-02-09,178.0,34330.0
RPG Strategy,2011-02-10,1.0,211160.0
Indie Strategy,2011-02-14,0.0,217060.0
RPG,2011-01-11,0.0,43100.0
Strategy,2011-03-08,218.0,219150.0
Casual Strategy,2011-03-11,696.0,205100.0
Action Indie,2011-02-28,0.0,217790.0
Action,2011-03-14,195.0,218680.0
Casual Indie Simulation Strategy,2011-02-28,105.0,223220.0
Indie,2011-02-28,103.0,4920.0
Strategy,2011-02-28,0.0,33670.0
Strategy,2011-02-28,0.0,218740.0
Strategy,2011-02-28,0.0,219950.0
Strategy,2011-02-28,194.0,38600.0
Free to Play Massively Multiplayer RPG,2013-10-24,0.0,224900.0
Strategy,2011-02-28,114.0,223470.0
Indie Casual,2011-03-01,1643.0,220240.0
Strategy,2011-02-28,88.0,223630.0
Action,2011-04-05,227.0,203140.0
Simulation,2011-04-05,0.0,205930.0
Simulation,2011-04-05,26.0,4560.0
Strategy,2011-04-06,0.0,9340.0
Racing,2011-04-08,0.0,20540.0
Action Indie Strategy,2011-04-08,0.0,43110.0
Strategy,2010-06-10,0.0,50620.0
Strategy,2011-04-08,0.0,55110.0
Strategy RPG,2011-04-11,0.0,228200.0
Action Indie,2011-04-08,299.0,17460.0
Strategy,2011-04-11,124.0,209190.0
Action Adventure,2011-04-18,0.0,226120.0
Action RPG,2011-04-12,21.0,221640.0
Action Casual Indie Strategy,2011-04-15,0.0,34870.0
Strategy,2011-04-19,126.0,224420.0
Strategy,2011-05-26,0.0,105000.0
Strategy,2011-04-20,70.0,221300.0
Strategy,2011-05-26,239.0,209950.0
Indie Strategy,2011-05-26,256.0,4570.0
Strategy,2011-05-26,14.0,71230.0
Adventure Indie RPG,2011-05-27,0.0,71240.0
Action Adventure,2011-05-30,0.0,71250.0
Adventure Casual Indie,2011-05-31,0.0,71260.0
Simulation,2011-05-31,0.0,222980.0
Simulation,2011-05-31,0.0,200900.0
Action RPG,2011-05-31,100.0,35720.0
Action Adventure,2011-06-01,15.0,209270.0
Adventure,2009-08-10,20.0,224700.0
Adventure,2005-06-06,551.0,227300.0
Action,2011-06-02,152.0,204080.0
Action RPG,2011-06-20,80.0,219890.0
Action,2011-06-13,26.0,223850.0
Action Free to Play,2011-06-14,68.0,286080.0
Free to Play Massively Multiplayer RPG,2009-09-01,0.0,224580.0
Strategy,2011-06-13,436.0,225260.0
Simulation,2011-06-14,185.0,218060.0
Strategy,2011-06-14,0.0,217920.0
Indie,2011-06-15,28.0,227260.0
Strategy,2011-06-15,1142.0,203160.0
Indie Casual,2011-05-20,0.0,232950.0
Action Casual Indie,2011-06-16,0.0,230150.0
Strategy Indie,2011-06-16,84.0,225420.0
Indie Casual,2011-06-17,157.0,234490.0
Strategy,2011-06-21,0.0,227080.0
Strategy,2011-06-21,169.0,233740.0
Action RPG,2011-06-21,679.0,233450.0
Strategy,2011-06-21,142.0,235360.0
Action,2011-06-21,160.0,234900.0
Action RPG,2011-06-21,137.0,233720.0
Action RPG,2011-06-21,450.0,234710.0
Simulation,2011-06-22,47.0,220900.0
Action RPG,2011-06-21,121.0,210770.0
Strategy,2011-06-23,116.0,113020.0
Action RPG,2011-06-24,0.0,22300.0
Racing,2011-06-23,63.0,235250.0
Simulation,2011-06-24,75.0,219740.0
Strategy,2011-06-23,420.0,322330.0
Strategy,2011-06-28,0.0,224760.0
Strategy,2011-06-30,224.0,234650.0
Strategy,2011-06-30,369.0,204450.0
Strategy,2011-06-30,53.0,236730.0
Strategy RPG,2011-07-01,75.0,233270.0
Strategy,2011-06-30,102.0,215690.0
Adventure Casual,2011-06-30,78.0,222730.0
Action,2011-07-02,0.0,57640.0
Strategy,2011-07-18,73.0,236090.0
Action Adventure Indie,2011-07-18,0.0,18490.0
Action RPG,2011-07-18,96.0,268540.0
Strategy,2011-07-19,59.0,231160.0
Indie Casual,2011-07-19,82.0,231740.0
Simulation,2011-07-19,135.0,41800.0
Action,2011-07-21,118.0,242760.0
Adventure Indie RPG,2011-07-20,55.0,242800.0
Strategy,2011-07-21,20.0,242920.0
Action Indie,2011-07-22,109.0,243120.0
Adventure Strategy RPG Indie,2011-07-22,229.0,228960.0
